Day,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
Friday,4.79180291411043,4.432808128834356,4.678692331288343,4.780980674846626,4.662312423312883,4.852310736196319,4.613296932515337,4.427915337423313,4.860714877300613,4.772242944785276,4.94595536809816,5.16049263803681,4.852637269938651,4.926746165644172,4.543155214723926,4.274192484662576,4.964177607361963,5.304088036809817,5.325780061349693,5.302133895705522,4.776969018404908,4.419980828220859,4.15054509202454,4.717408435582822
Monday,6.343263803680982,6.335285276073619,6.341328220858896,7.299469325153374,7.347395705521473,7.284248466257669,7.292687116564418,7.180180981595092,7.712990797546012,7.513693251533742,7.35028527607362,7.519733128834356,7.618760736196319,7.500558282208588,7.362073619631902,7.44289263803681,7.6019969325153385,8.049803680981595,8.352251533742331,8.008098159509203,7.45496319018405,7.075509202453988,6.944018404907975,6.846407975460123
Saturday,4.411654294478527,4.357671932515338,4.541359355828221,4.678273619631901,4.386427760736196,4.66097699386503,4.754535122699386,4.700613036809816,4.485021472392638,4.617657515337424,4.755921625766871,4.751343711656442,4.865380214723926,5.089927300613497,5.100707055214724,4.829246472392638,5.221028527607362,4.757167944785276,4.613216564417177,5.198628834355828,5.010265797546012,4.862364570552147,4.400156441717791,4.842951687116564
Sunday,4.4770779141104295,4.483608588957056,4.517023926380368,4.289347392638037,4.247444325153374,4.578553527607362,4.610331595092025,4.326447699386502,4.2287963190184055,4.296458742331288,4.570443558282209,4.008758895705522,4.636178374233129,4.5330888036809815,4.539194478527607,4.550451687116564,4.661236656441718,4.840029447852761,4.496221012269938,4.660961196319018,5.091327760736196,4.433565337423313,4.019250766871166,4.442869018404908
Thursday,4.835188343558283,4.880635736196319,4.827479294478528,5.0631578220858895,4.865417331288344,4.840325920245399,4.759044938650307,4.664841564417178,5.371513036809816,4.915688190184049,4.777575153374233,5.028212576687117,5.232000153374233,5.010975766871166,4.9912697852760735,5.09096763803681,4.688553220858896,5.187357515337423,5.9268861963190185,5.210252300613496,4.825481441717792,4.551523773006135,4.3534881901840485,4.567671472392638
Tuesday,4.781108742331289,4.531944325153374,4.745128220858896,4.664127453987731,5.010149386503068,4.835051380368098,4.960961963190184,4.955979141104295,4.852688343558282,5.113038496932516,4.920119631901841,5.16605,5.1384007668711655,4.615556595092024,4.622532515337423,4.778030368098159,5.242881595092024,5.229051533742331,5.525355674846626,5.502246779141104,5.22625291411043,4.4485504601227,4.699768558282209,4.81560199386503
Wednesday,4.673330981595092,4.3975329754601225,4.616331441717792,5.024693251533742,5.060263190184049,4.697131595092024,5.00075245398773,5.101206748466258,5.007162730061349,5.237383895705522,4.931508435582822,4.82246472392638,5.699024079754601,5.097361963190184,4.902880521472393,5.319953374233129,4.572463190184049,5.372282208588957,5.255237730061349,5.714988957055215,4.903464723926381,4.8195368098159515,4.895196779141104,4.645503067484663
